streams/0/socket,streams/0/start,streams/0/end,streams/0/seconds,streams/0/bytes,streams/0/bits_per_second,streams/0/retransmits,streams/0/snd_cwnd,streams/0/rtt,streams/0/rttvar,streams/0/pmtu,streams/0/omitted,streams/0/sender,sum/start,sum/end,sum/seconds,sum/bytes,sum/bits_per_second,sum/retransmits,sum/omitted,sum/sender
5,0,1.000026,1.000025987625122,215624480,1724951012.61973,0,166440,246,53,1500,false,true,0,1.000026,1.000025987625122,215624480,1724951012.61973,0,false,true
5,1.000026,2.000062,1.0000360012054443,221865980,1774863942.758561,0,166440,216,56,1500,false,true,1.000026,2.000062,1.0000360012054443,221865980,1774863942.758561,0,false,true
5,2.000062,3.000012,0.9999499917030334,243641880,1949232517.7986069,0,166440,203,65,1500,false,true,2.000062,3.000012,0.9999499917030334,243641880,1949232517.7986069,0,false,true
5,3.000012,4.000018,1.0000059604644775,273084240,2184660898.4063196,0,166440,190,38,1500,false,true,3.000012,4.000018,1.0000059604644775,273084240,2184660898.4063196,0,false,true
5,4.000018,5.00005,1.0000319480895996,259869780,2078891823.3777587,0,166440,236,45,1500,false,true,4.000018,5.00005,1.0000319480895996,259869780,2078891823.3777587,0,false,true
5,5.00005,6.000098,1.000048041343689,268876520,2150908827.4497766,0,166440,200,43,1500,false,true,5.00005,6.000098,1.000048041343689,268876520,2150908827.4497766,0,false,true
5,6.000098,7.000021,0.9999229907989502,268155280,2145407456.1141217,0,166440,198,29,1500,false,true,6.000098,7.000021,0.9999229907989502,268155280,2145407456.1141217,0,false,true
5,7.000021,8.00006,1.000038981437683,264192840,2113460334.2776837,0,166440,214,55,1500,false,true,7.000021,8.00006,1.000038981437683,264192840,2113460334.2776837,0,false,true
5,8.00006,9.000052,0.9999920129776001,262195560,2097581233.428297,0,166440,332,62,1500,false,true,8.00006,9.000052,0.9999920129776001,262195560,2097581233.428297,0,false,true
5,9.000052,10.000051,0.9999989867210388,260823160,2086587394.2951074,0,166440,467,144,1500,false,true,9.000052,10.000051,0.9999989867210388,260823160,2086587394.2951074,0,false,true
5,10.000051,11.000041,0.9999899864196777,284594880,2276781838.7378182,0,166440,182,48,1500,false,true,10.000051,11.000041,0.9999899864196777,284594880,2276781838.7378182,0,false,true
5,11.000041,12.000059,1.0000180006027222,278641000,2229087875.074728,0,166440,491,360,1500,false,true,11.000041,12.000059,1.0000180006027222,278641000,2229087875.074728,0,false,true
5,12.000059,13.000043,0.9999840259552002,249703800,1997662310.7472467,0,166440,193,58,1500,false,true,12.000059,13.000043,0.9999840259552002,249703800,1997662310.7472467,0,false,true
5,13.000043,14.000131,1.0000879764556885,290334140,2322468797.4267554,0,166440,380,275,1500,false,true,13.000043,14.000131,1.0000879764556885,290334140,2322468797.4267554,0,false,true
5,14.000131,15.000065,0.9999340176582336,282888140,2263254454.828943,0,166440,194,48,1500,false,true,14.000131,15.000065,0.9999340176582336,282888140,2263254454.828943,0,false,true
