streams/0/socket,streams/0/start,streams/0/end,streams/0/seconds,streams/0/bytes,streams/0/bits_per_second,streams/0/omitted,streams/0/sender,sum/start,sum/end,sum/seconds,sum/bytes,sum/bits_per_second,sum/omitted,sum/sender
502,0,1.000009,1.0000089406967163,307147,2457154.0313310204,false,false,0,1.000009,1.0000089406967163,307147,2457154.0313310204,false,false
502,1.000009,2.00001,1.0000009536743164,306901,2455205.658533422,false,false,1.000009,2.00001,1.0000009536743164,306901,2455205.658533422,false,false
502,2.00001,3.000009,0.9999989867210388,368837,2950698.9898812072,false,false,2.00001,3.000009,0.9999989867210388,368837,2950698.9898812072,false,false
502,3.000009,4.00001,1.0000009536743164,362922,2903373.2311275187,false,false,3.000009,4.00001,1.0000009536743164,362922,2903373.2311275187,false,false
502,4.00001,5.000007,0.9999970197677612,358029,2864240.5361019853,false,false,4.00001,5.000007,0.9999970197677612,358029,2864240.5361019853,false,false
502,5.000007,6.000008,1.0000009536743164,343815,2750517.376902221,false,false,5.000007,6.000008,1.0000009536743164,343815,2750517.376902221,false,false
502,6.000008,7.000009,1.0000009536743164,339763,2718101.407816498,false,false,6.000008,7.000009,1.0000009536743164,339763,2718101.407816498,false,false
502,7.000009,8.000009,1,368515,2948120,false,false,7.000009,8.000009,1,368515,2948120,false,false
502,8.000009,9.000009,1,373267,2986136,false,false,8.000009,9.000009,1,373267,2986136,false,false
502,9.000009,10.000009,1,321954,2575632,false,false,9.000009,10.000009,1,321954,2575632,false,false
502,10.000009,11.000007,0.9999979734420776,368055,2944445.9670903017,false,false,10.000009,11.000007,0.9999979734420776,368055,2944445.9670903017,false,false
502,11.000007,12.000009,1.0000020265579224,349906,2799242.327173285,false,false,11.000007,12.000009,1.0000020265579224,349906,2799242.327173285,false,false
502,12.000009,13.000021,1.0000120401382446,348753,2789990.4081297847,false,false,12.000009,13.000021,1.0000120401382446,348753,2789990.4081297847,false,false
502,13.000021,14.000007,0.9999859929084778,336331,2690685.688680699,false,false,13.000021,14.000007,0.9999859929084778,336331,2690685.688680699,false,false
502,14.000007,15.000007,1,346215,2769720,false,false,14.000007,15.000007,1,346215,2769720,false,false
502,15.000007,16.000009,1.0000020265579224,374491,2995921.928590681,false,false,15.000007,16.000009,1.0000020265579224,374491,2995921.928590681,false,false
502,16.000009,17.000028,1.0000189542770386,366801,2934352.381472033,false,false,16.000009,17.000028,1.0000189542770386,366801,2934352.381472033,false,false
502,17.000028,18.00001,0.9999819993972778,346635,2773129.9180099512,false,false,17.000028,18.00001,0.9999819993972778,346635,2773129.9180099512,false,false
502,18.00001,19.000009,0.9999989867210388,304374,2434994.4673286644,false,false,18.00001,19.000009,0.9999989867210388,304374,2434994.4673286644,false,false
502,19.000009,20.000008,0.9999989867210388,362912,2903298.9418517356,false,false,19.000009,20.000008,0.9999989867210388,362912,2903298.9418517356,false,false
502,20.000008,21.000007,0.9999989867210388,284582,2276658.3068899643,false,false,20.000008,21.000007,0.9999989867210388,284582,2276658.3068899643,false,false
502,21.000007,22.000007,1,340808,2726464,false,false,21.000007,22.000007,1,340808,2726464,false,false
502,22.000007,23.00001,1.0000029802322388,289982,2319849.086310964,false,false,22.000007,23.00001,1.0000029802322388,289982,2319849.086310964,false,false
502,23.00001,24.000009,0.9999989867210388,359237,2873898.9120613043,false,false,23.00001,24.000009,0.9999989867210388,359237,2873898.9120613043,false,false
502,24.000009,25.000007,0.9999979734420776,328895,2631165.332208949,false,false,24.000009,25.000007,0.9999979734420776,328895,2631165.332208949,false,false
502,25.000007,26.004966,1.004958987236023,214048,1703934.2119917104,false,false,25.000007,26.004966,1.004958987236023,214048,1703934.2119917104,false,false
502,26.004966,27.000009,0.9950429797172546,206122,1657190.728051328,false,false,26.004966,27.000009,0.9950429797172546,206122,1657190.728051328,false,false
502,27.000009,28.00001,1.0000009536743164,190549,1524390.546227888,false,false,27.000009,28.00001,1.0000009536743164,190549,1524390.546227888,false,false
502,28.00001,29.003938,1.0039279460906982,193353,1540771.9309172959,false,false,28.00001,29.003938,1.0039279460906982,193353,1540771.9309172959,false,false
502,29.003938,30.000007,0.9960690140724182,102213,820931.0684777005,false,false,29.003938,30.000007,0.9960690140724182,102213,820931.0684777005,false,false
