streams/0/socket,streams/0/start,streams/0/end,streams/0/seconds,streams/0/bytes,streams/0/bits_per_second,streams/0/omitted,streams/0/sender,sum/start,sum/end,sum/seconds,sum/bytes,sum/bits_per_second,sum/omitted,sum/sender
5,0,1.000006,1.0000059604644775,998755,7989992.375934267,false,false,0,1.000006,1.0000059604644775,998755,7989992.375934267,false,false
5,1.000006,2.000006,1,959859,7678872,false,false,1.000006,2.000006,1,959859,7678872,false,false
5,2.000006,3.000006,1,968191,7745528,false,false,2.000006,3.000006,1,968191,7745528,false,false
5,3.000006,4.000006,1,978782,7830256,false,false,3.000006,4.000006,1,978782,7830256,false,false
5,4.000006,5.000006,1,976887,7815096,false,false,4.000006,5.000006,1,976887,7815096,false,false
5,5.000006,6.000006,1,972198,7777584,false,false,5.000006,6.000006,1,972198,7777584,false,false
5,6.000006,7.000006,1,978673,7829384,false,false,6.000006,7.000006,1,978673,7829384,false,false
5,7.000006,8.000005,0.9999989867210388,1013708,8109672.2173602395,false,false,7.000006,8.000005,0.9999989867210388,1013708,8109672.2173602395,false,false
5,8.000005,9.000006,1.0000009536743164,1001970,8015752.355582852,false,false,8.000005,9.000006,1.0000009536743164,1001970,8015752.355582852,false,false
5,9.000006,10.000007,1.0000009536743164,909638,7277097.060019436,false,false,9.000006,10.000007,1.0000009536743164,909638,7277097.060019436,false,false
5,10.000007,11.000006,0.9999989867210388,933423,7467391.566550769,false,false,10.000007,11.000006,0.9999989867210388,933423,7467391.566550769,false,false
5,11.000006,12.000006,1,954648,7637184,false,false,11.000006,12.000006,1,954648,7637184,false,false
5,12.000006,13.000006,1,997622,7980976,false,false,12.000006,13.000006,1,997622,7980976,false,false
5,13.000006,14.000006,1,1008114,8064912,false,false,13.000006,14.000006,1,1008114,8064912,false,false
5,14.000006,15.000006,1,1004867,8038936,false,false,14.000006,15.000006,1,1004867,8038936,false,false
5,15.000006,16.000005,0.9999989867210388,1007019,8056160.163137601,false,false,15.000006,16.000005,0.9999989867210388,1007019,8056160.163137601,false,false
5,16.000005,17.000006,1.0000009536743164,992518,7940136.42769582,false,false,16.000005,17.000006,1.0000009536743164,992518,7940136.42769582,false,false
5,17.000006,18.000007,1.0000009536743164,1004784,8038264.334113756,false,false,17.000006,18.000007,1.0000009536743164,1004784,8038264.334113756,false,false
5,18.000007,19.000006,0.9999989867210388,1013647,8109184.216865759,false,false,18.000007,19.000006,0.9999989867210388,1013647,8109184.216865759,false,false
5,19.000006,20.000005,0.9999989867210388,1008156,8065256.172354396,false,false,19.000006,20.000005,0.9999989867210388,1008156,8065256.172354396,false,false
5,20.000005,21.000007,1.0000020265579224,1014051,8112391.559768615,false,false,20.000005,21.000007,1.0000020265579224,1014051,8112391.559768615,false,false
5,21.000007,22.000005,0.9999979734420776,1012486,8099904.414925463,false,false,21.000007,22.000005,0.9999979734420776,1012486,8099904.414925463,false,false
5,22.000005,23.000006,1.0000009536743164,1005189,8041504.331023854,false,false,22.000005,23.000006,1.0000009536743164,1005189,8041504.331023854,false,false
5,23.000006,24.000007,1.0000009536743164,1008989,8071904.302032183,false,false,23.000006,24.000007,1.0000009536743164,1008989,8071904.302032183,false,false
